PPG (Pulse)	Respiration (SS5LB)
0.295288	-5.78064
0.234009	-5.78613
0.175049	-5.78796
0.11908	-5.78705
0.0653687	-5.78369
0.0140381	-5.77881
-0.0340576	-5.7724
-0.0768433	-5.76508
-0.11377	-5.75714
-0.145386	-5.7486
-0.172974	-5.74005
-0.196167	-5.7312
-0.214722	-5.72205
-0.22937	-5.71289
-0.240967	-5.70374
-0.249084	-5.69458
-0.252808	-5.68512
-0.250366	-5.67535
-0.242554	-5.66559
-0.231079	-5.65613
-0.218018	-5.64606
-0.204224	-5.63599
-0.190491	-5.62592
-0.177612	-5.61584
-0.167114	-5.60608
-0.159302	-5.59631
-0.15332	-5.58655
-0.14856	-5.57709
-0.144897	-5.56763
-0.143372	-5.55817
-0.14502	-5.54871
-0.149841	-5.53864
-0.157288	-5.52856
-0.166382	-5.51849
-0.176758	-5.50903
-0.188538	-5.49957
-0.20282	-5.49011
-0.219849	-5.48035
-0.239502	-5.47028
-0.26123	-5.46021
-0.284729	-5.45044
-0.309753	-5.44128
-0.336243	-5.43213
-0.364441	-5.42297
-0.39447	-5.41382
-0.424988	-5.40405
-0.454712	-5.39459
-0.483337	-5.38513
-0.512573	-5.37598
-0.542969	-5.36682
-0.57312	-5.35767
-0.601318	-5.34821
-0.628174	-5.33844
-0.655151	-5.32867
-0.682312	-5.31891
-0.708435	-5.30975
-0.732605	-5.30029
-0.755432	-5.29083
-0.777954	-5.28107
-0.799805	-5.27161
-0.820129	-5.26245
-0.837708	-5.2536
-0.852417	-5.24475
-0.864197	-5.2359
-0.873169	-5.22675
-0.879578	-5.21729
-0.884949	-5.20813
-0.890564	-5.19897
-0.897095	-5.18951
-0.902832	-5.18005
-0.906677	-5.1709
-0.907593	-5.16205
-0.905579	-5.1532
-0.9021	-5.14435
-0.898987	-5.13519
-0.897461	-5.12604
-0.897461	-5.11719
-0.896973	-5.10834
-0.894409	-5.09979
-0.889099	-5.09094
-0.881592	-5.08179
-0.873352	-5.07294
-0.866272	-5.06409
-0.861206	-5.05585
-0.858337	-5.0473
-0.855652	-5.03845
-0.852051	-5.0293
-0.84613	-5.02014
-0.838562	-5.01099
-0.830872	-5.00214
